PUBCHEM_EXT_DATASOURCE_REGID	PUBCHEM_SUBSTANCE_SYNONYM	PUBCHEM_SUBSTANCE_COMMENT	PUBCHEM_EXT_SUBSTANCE_URL	PUBCHEM_EXT_DATASOURCE_SMILES	PUBCHEM_EXT_DATASOURCE_INCHI
UALIB-47	2,4-Difluoro-2'-methylbiphenyl	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC1=CC=CC=C1C2=CC=C(F)C=C2F	InChI=1S/C13H10F2/c1-9-4-2-3-5-11(9)12-7-6-10(14)8-13(12)15/h2-8H,1H3
UALIB-48	4-Methoxy-2'-methylbiphenyl	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC1=CC=CC=C1C2=CC=C(OC)C=C2	InChI=1S/C14H14O/c1-11-5-3-4-6-14(11)12-7-9-13(15-2)10-8-12/h3-10H,1-2H3
UALIB-49	4-Tert-butylbiphenyl	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC(C1=CC=C(C2=CC=CC=C2)C=C1)(C)C	InChI=1S/C16H18/c1-16(2,3)15-11-9-14(10-12-15)13-7-5-4-6-8-13/h4-12H,1-3H3
UALIB-50	1-(4-Methoxyphenyl)naphthalene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	COC1=CC=C(C2=C3C=CC=CC3=CC=C2)C=C1	InChI=1S/C17H14O/c1-18-15-11-9-14(10-12-15)17-8-4-6-13-5-2-3-7-16(13)17/h2-12H,1H3
UALIB-51	3-(4-Methoxyphenyl)benzothiophene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	COC1=CC=C(C2=CSC3=CC=CC=C23)C=C1	InChI=1S/C15H12OS/c1-16-12-8-6-11(7-9-12)14-10-17-15-5-3-2-4-13(14)15/h2-10H,1H3
UALIB-52	2-Methoxybiphenyl	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	COC1=CC=CC=C1C2=CC=CC=C2	InChI=1S/C13H12O/c1-14-13-10-6-5-9-12(13)11-7-3-2-4-8-11/h2-10H,1H3
UALIB-53	(2-Bromobenzyloxy)benzene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	BrC1=CC=CC=C1COC2=CC=CC=C2	InChI=1S/C13H11BrO/c14-13-9-5-4-6-11(13)10-15-12-7-2-1-3-8-12/h1-9H,10H2
UALIB-54	(2-Chlorobenzyloxy)benzene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	ClC1=CC=CC=C1COC2=CC=CC=C2	InChI=1S/C13H11ClO/c14-13-9-5-4-6-11(13)10-15-12-7-2-1-3-8-12/h1-9H,10H2
UALIB-55	3,5-Dimethyl-1-(2-bromobenzyloxy)benzene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	BrC1=CC=CC=C1COC2=CC(C)=CC(C)=C2	InChI=1S/C15H15BrO/c1-11-7-12(2)9-14(8-11)17-10-13-5-3-4-6-15(13)16/h3-9H,10H2,1-2H3
UALIB-56	1-Methoxy-4-(2-bromobenzyloxy)benzene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	BrC1=CC=CC=C1COC2=CC=C(OC)C=C2	InChI=1S/C14H13BrO2/c1-16-12-6-8-13(9-7-12)17-10-11-4-2-3-5-14(11)15/h2-9H,10H2,1H3
UALIB-57	4-Nitro-(2-bromobenzyloxy)benzene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	O=[N+](C1=CC=C(OCC2=CC=CC=C2Br)C=C1)[O-]	InChI=1S/C13H10BrNO3/c14-13-4-2-1-3-10(13)9-18-12-7-5-11(6-8-12)15(16)17/h1-8H,9H2
UALIB-58	4-Chloro-(2-bromobenzyloxy)benzene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	ClC1=CC=C(OCC2=CC=CC=C2Br)C=C1	InChI=1S/C13H10BrClO/c14-13-4-2-1-3-10(13)9-16-12-7-5-11(15)6-8-12/h1-8H,9H2
